Rank,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Morgan Rogers21, AM(CL),FW",0,0,5(1),451,5,2,2,-,2.3,72.9,0.7,2,7.59
2,,"Tommy Smith32, D(CR),M(R)",186,75,1,90,-,-,1,-,-,90.8,-,-,7.49
3,,"Riley McGree25, AM(CLR)",178,78,1(2),93,2,2,-,-,1,95.2,-,-,7.3
4,,"Sam Silvera23, AM(LR)",173,75,4(1),369,2,1,1,-,2.8,88.8,0.2,-,7.28
5,,"Hayden Hackney21, M(CL)",178,70,6,517,1,2,-,-,1.2,83.2,0.3,1,7.08
6,,"Anfernee Dijksteel27, D(CR),M(R)",183,72,2(1),222,-,-,-,-,0.3,87.9,1.3,-,6.92
7,,"Daniel Barlaser27, DMC",184,62,7,630,-,3,-,-,0.4,91,1,1,6.87
8,,"Matt Clarke27, D(C)",185,83,2(1),250,-,-,1,-,-,87.2,3.7,-,6.82
9,,"Dael Fry26, D(CR)",190,72,6,540,-,-,-,-,0.3,88,2.5,1,6.82
10,,"Jonny Howson36, D(CR),M(CLR)",180,76,3(1),274,1,1,-,-,1,87,0.3,-,6.81
11,,"Paddy McNair29, D(CR),M(C)",183,72,4,360,-,1,1,-,1.3,88.5,1,1,6.79
12,,"Lewis O'Brien25, D(L),M(CL)",173,74,1(1),109,-,-,-,-,1.5,91.5,1.5,-,6.78
13,,"Lukas Engel25, D(L)",178,74,4(1),367,-,-,-,-,0.2,72.1,1.8,-,6.78
14,,"Isaiah Jones24, M(LR)",181,0,4(1),383,1,1,2,-,0.8,84.1,0.4,-,6.76
15,,"Darragh Lenihan30, D(C),DMC",178,76,2,180,-,-,-,-,1,83.2,5,-,6.75
16,,"Emmanuel Latte Lath25, FW",177,75,5,316,2,-,1,-,1.4,88.4,1,-,6.61
17,,"Alex Bangura24, D(L)",183,0,2(1),116,-,2,-,-,0.3,85.5,-,-,6.48
18,,"Matt Crooks30, M(C),FW",191,72,4(2),341,2,-,3,-,0.5,75.8,0.5,-,6.45
19,,"Hayden Coulson25, D(L),M(L)",177,70,1,90,-,-,-,-,-,78.7,5,-,6.45
20,,"Tom Glover26, GK",190,90,7,630,-,-,-,-,-,79.2,-,-,6.29
21,,"Alex Gilbert22, Forward",183,67,0(2),20,-,-,-,-,-,61.5,1,-,6.27
22,,"Josh Coburn21, FW",0,0,0(3),91,-,-,-,-,0.3,60.9,1.7,-,6.24
23,,"Rav van den Berg19, D(CR)",190,75,3(1),273,-,-,1,-,-,88.8,2,-,6.23
24,,"Marcus Forss24, AM(R),FW",182,76,2,119,-,-,-,-,1.5,85.2,-,-,6.18
25,,"Law McCabe17, Midfielder",0,0,0(1),7,-,-,-,-,-,100,-,-,6.03
26,,"Calum Kavanagh20, AM(C),FW",0,0,0(1),17,-,-,-,-,1,100,-,-,6.02
27,,"Martín Payero25, AM(C)",183,80,1,74,-,-,1,-,3,83.8,-,-,6
28,,"Finley Cartwright17, Midfielder",0,0,0(1),4,-,-,-,-,-,83.3,-,-,5.98
,,,,,,,,,,,,,,,
