R,,Player,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
1,,"Calum Chambers22, D(CR)",182,66,24,2160,1,1,4,-,0.3,78,2.6,1,7.05
2,,"Adama Traoré21, AM(R)",178,72,16(11),1537,-,1,1,-,0.4,69.9,0.6,2,7.03
3,,"George Friend29, D(L)",188,83,20(4),1960,-,2,4,-,0.6,77.2,2,-,6.99
4,,"Antonio Barragán29, D(R),M(R)",186,83,26,2196,-,-,5,-,0.1,79.9,0.8,1,6.94
5,,"Álvaro Negredo31, FW",186,86,33(3),2880,9,4,5,-,1.9,66.9,4.9,2,6.91
6,,"Gastón Ramírez26, AM(CLR)",183,77,20(4),1550,2,3,8,1,1.3,75.8,0.6,3,6.84
7,,"Fabio26, D(LR)",172,65,21(3),1849,-,-,8,-,0.2,71,1.8,-,6.83
8,,"Bernardo27, D(C)",192,84,10(1),975,-,-,2,-,0.2,85.2,2.5,-,6.83
9,,"Ben Gibson24, D(CL)",185,78,38,3420,1,1,4,-,0.4,84.6,1.6,-,6.82
10,,"Adam Clayton28, M(C)",175,75,32(2),2806,-,2,10,-,0.3,87.4,0.6,1,6.8
11,,"Daniel Ayala26, D(C)",190,81,11(3),917,1,-,3,-,0.7,79.5,2.6,1,6.76
12,,"Víctor Valdés35, GK",183,78,28,2520,-,-,1,-,-,53.2,0.2,2,6.66
13,,"Marten de Roon26, DMC",185,76,32(1),2777,4,-,8,-,0.9,79.2,2,-,6.62
14,,"Nsue27, D(R),M(R),FW",182,75,4,322,-,-,-,-,0.5,82.7,1.5,-,6.62
15,,"Adam Forshaw25, M(C)",185,71,30(4),2700,-,1,4,-,0.8,88.3,0.5,-,6.61
16,,"Cristhian Stuani30, AM(CLR),FW",186,77,16(7),1362,4,-,4,-,0.9,68,2,1,6.61
17,,"Stewart Downing32, D(L),M(CLR)",180,64,24(6),2212,1,3,1,-,1,81.3,0.3,-,6.57
18,,"Rudy Gestede28, FW",193,86,4(12),525,1,-,3,-,1,56.9,5,-,6.57
19,,"Brad Guzan32, GK",193,94,10,900,-,-,-,-,-,45.1,-,-,6.47
20,,"Adlène Guédioura31, M(C)",186,81,0(5),136,-,-,-,-,1.2,68.8,0.2,-,6.41
21,,"Grant Leadbitter31, DMC",177,79,7(6),708,1,-,1,-,1,80,0.3,-,6.4
22,,"Viktor Fischer22, AM(L),FW",180,81,6(7),439,-,3,-,-,0.9,80.1,0.2,-,6.37
23,,"Patrick Bamford23, AM(CLR),FW",185,71,2(6),281,1,-,1,-,0.8,68.1,0.5,-,6.28
24,,"Albert Adomah29, AM(LR)",185,73,1(1),121,-,-,-,-,2,75,-,-,6.27
25,,"Jordan Rhodes27, FW",185,71,2(4),208,-,-,-,-,1,61.9,0.7,-,6.24
26,,"David Nugent32, M(C),FW",180,76,0(4),40,-,-,-,-,-,85.7,0.3,-,6.03
27,,"James Husband23, D(L)",179,65,1,59,-,-,-,-,-,60.7,2,-,5.8
