R,Team,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts,P,W,D,L,GF,GA,Pts
1,Sunderland,46,29,7,10,76,41,94,23,16,4,3,45,21,52,23,13,3,7,31,20,42
2,Wigan,46,25,12,9,79,35,87,23,13,5,5,42,15,44,23,12,7,4,37,20,43
3,Ipswich,46,24,13,9,85,56,85,23,17,3,3,53,26,54,23,7,10,6,32,30,31
4,Derby,46,22,10,14,71,60,76,23,10,7,6,38,30,37,23,12,3,8,33,30,39
5,Preston,46,21,12,13,67,58,75,23,14,7,2,44,22,49,23,7,5,11,23,36,26
6,West Ham,46,21,10,15,66,56,73,23,12,5,6,36,24,41,23,9,5,9,30,32,32
7,Reading,46,19,13,14,51,44,70,23,13,7,3,33,15,46,23,6,6,11,18,29,24
8,Sheffield United,46,18,13,15,57,56,67,23,9,7,7,28,23,34,23,9,6,8,29,33,33
9,Wolverhampton Wanderers,46,15,21,10,72,59,66,23,9,11,3,40,26,38,23,6,10,7,32,33,28
10,Millwall,46,18,12,16,51,45,66,23,12,5,6,33,22,41,23,6,7,10,18,23,25
11,Queens Park Rangers,46,17,11,18,54,58,62,23,10,7,6,32,26,37,23,7,4,12,22,32,25
12,Stoke,46,17,10,19,36,38,61,23,11,2,10,22,18,35,23,6,8,9,14,20,26
13,Burnley,46,15,15,16,38,39,60,23,10,7,6,26,19,37,23,5,8,10,12,20,23
14,Leeds,46,14,18,14,49,52,60,23,7,10,6,28,26,31,23,7,8,8,21,26,29
15,Leicester,46,12,21,13,49,46,57,23,8,8,7,24,20,32,23,4,13,6,25,26,25
16,Cardiff,46,13,15,18,48,51,54,23,10,4,9,24,19,34,23,3,11,9,24,32,20
17,Plymouth,46,14,11,21,52,64,53,23,9,8,6,31,23,35,23,5,3,15,21,41,18
18,Watford,46,12,16,18,52,59,52,23,5,10,8,25,25,25,23,7,6,10,27,34,27
19,Coventry,46,13,13,20,61,73,52,23,8,7,8,32,28,31,23,5,6,12,29,45,21
20,Brighton,46,13,12,21,40,65,51,23,7,7,9,24,29,28,23,6,5,12,16,36,23
21,Crewe,46,12,14,20,66,86,50,23,6,8,9,37,38,26,23,6,6,11,29,48,24
22,Gillingham,46,12,14,20,45,66,50,23,10,6,7,22,23,36,23,2,8,13,23,43,14
23,Nottingham Forest,46,9,17,20,42,66,44,23,7,10,6,26,28,31,23,2,7,14,16,38,13
24,Rotherham,46,5,14,27,35,69,29,23,2,7,14,17,34,13,23,3,7,13,18,35,16
