R,Team,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS,W,WD,D,DL,L,CS,FS
1,Bournemouth,2,13,.,.,.,2,.,1,10,.,.,.,1,.,3,6,.,.,.,3,.
2,Watford,.,7,1,1,.,.,.,.,3,1,1,.,.,.,3,9,.,.,.,1,.
3,Norwich,1,2,.,.,.,.,.,1,1,.,.,.,.,.,.,11,1,1,.,.,.
4,Middlesbrough,.,1,1,2,.,1,1,.,7,1,1,.,1,1,.,.,.,1,1,.,.
5,Brentford,2,3,.,.,.,2,.,1,4,.,.,.,1,.,1,1,.,.,.,1,.
6,Ipswich,.,.,.,1,1,.,.,3,7,.,.,.,.,.,.,.,.,3,1,.,.
7,Wolverhampton Wanderers,2,3,.,.,.,.,.,1,8,.,.,.,.,.,1,1,.,.,.,1,.
8,Derby,.,.,.,3,1,.,1,.,.,.,1,1,.,1,.,3,2,2,.,.,.
9,Blackburn,1,7,.,.,.,.,.,2,3,.,.,.,.,.,.,8,3,3,.,.,.
10,Birmingham,3,3,.,.,.,3,.,1,8,.,.,.,1,.,2,2,.,.,.,2,.
11,Cardiff,2,3,.,.,.,.,.,1,2,.,.,.,.,.,1,1,.,.,.,.,.
12,Charlton,.,.,.,2,2,.,2,.,.,.,1,1,.,1,.,.,.,4,1,.,1
13,Sheffield Wednesday,.,1,1,3,.,.,.,.,.,.,1,1,.,.,.,2,2,3,.,.,.
14,Nottingham Forest,.,.,.,8,2,.,.,.,.,.,4,4,.,.,.,.,.,6,1,.,.
15,Leeds,.,2,1,1,.,1,1,.,1,1,5,.,1,2,1,1,.,.,.,.,.
16,Huddersfield,.,6,3,3,.,.,.,.,3,2,2,.,.,.,.,4,1,1,.,2,1
17,Fulham,.,.,.,1,1,.,.,1,3,.,.,.,.,.,.,.,.,1,1,.,.
18,Bolton,.,.,.,5,2,.,2,.,.,.,4,1,.,1,.,.,.,2,1,.,1
19,Reading,1,1,.,.,.,1,.,.,.,.,5,3,.,4,1,1,.,.,.,1,.
20,Brighton,.,1,1,7,.,1,2,.,.,.,5,1,.,4,.,1,1,3,.,1,1
21,Rotherham,.,4,1,1,.,1,1,1,3,.,.,.,.,.,.,2,2,5,.,1,1
22,Millwall,.,.,.,4,1,.,.,.,2,1,1,.,.,.,.,.,.,8,2,.,.
23,Wigan,.,.,.,2,2,.,2,.,.,.,1,1,.,1,.,.,.,4,2,.,2
24,Blackpool,.,.,.,17,4,.,.,.,.,.,8,1,.,1,.,.,.,23,3,.,.
