R,Team,Left Side,Middle of the pitch,Right Side
1,Wigan,45%,22%,33%
2,Barnsley,45%,23%,32%
3,Ipswich,43%,22%,35%
4,Nottingham Forest,42%,24%,34%
5,Derby,41%,24%,35%
6,Blackburn,40%,29%,31%
7,Charlton,39%,22%,38%
8,Reading,39%,23%,38%
9,Leicester,37%,24%,39%
10,Bournemouth,37%,25%,37%
11,Huddersfield,37%,24%,40%
12,Doncaster,37%,23%,40%
13,Brighton,36%,26%,38%
14,Middlesbrough,36%,27%,37%
15,Queens Park Rangers,36%,27%,37%
16,Watford,36%,29%,35%
17,Bolton,36%,28%,35%
18,Millwall,35%,30%,35%
19,Birmingham,35%,27%,38%
20,Burnley,35%,26%,39%
21,Yeovil,35%,28%,37%
22,Sheffield Wednesday,34%,29%,37%
23,Leeds,33%,27%,40%
24,Blackpool,32%,28%,40%
