R,Team,Left Side,Middle of the pitch,Right Side
1,Watford,34%,33%,33%
2,Rotherham,32%,32%,36%
3,Fulham,32%,31%,37%
4,Blackburn,37%,30%,33%
5,Middlesbrough,39%,27%,35%
6,Nottingham Forest,41%,27%,32%
7,Millwall,34%,27%,38%
8,Birmingham,36%,27%,37%
9,Bolton,38%,27%,35%
10,Derby,37%,26%,37%
11,Norwich,33%,25%,42%
12,Bournemouth,38%,25%,37%
13,Leeds,34%,25%,41%
14,Charlton,36%,25%,39%
15,Cardiff,33%,25%,42%
16,Brighton,38%,24%,38%
17,Sheffield Wednesday,40%,24%,37%
18,Blackpool,42%,24%,34%
19,Brentford,37%,24%,39%
20,Wolverhampton Wanderers,36%,22%,42%
21,Huddersfield,36%,22%,42%
22,Wigan,39%,21%,40%
23,Ipswich,41%,21%,38%
24,Reading,34%,21%,45%
