R,Team,Own Half,Middle,Opposition Half
1,Birmingham,31%,38%,32%
2,Yeovil,30%,40%,30%
3,Barnsley,30%,38%,32%
4,Queens Park Rangers,30%,39%,32%
5,Bolton,30%,41%,30%
6,Bournemouth,29%,40%,31%
7,Doncaster,29%,40%,31%
8,Huddersfield,29%,41%,30%
9,Ipswich,28%,38%,33%
10,Middlesbrough,28%,44%,28%
11,Charlton,28%,42%,30%
12,Watford,28%,44%,29%
13,Nottingham Forest,28%,41%,31%
14,Blackpool,28%,41%,32%
15,Reading,27%,43%,30%
16,Leeds,27%,41%,32%
17,Wigan,27%,41%,31%
18,Blackburn,27%,42%,32%
19,Brighton,27%,43%,29%
20,Millwall,26%,41%,33%
21,Burnley,26%,43%,32%
22,Derby,26%,42%,32%
23,Sheffield Wednesday,25%,43%,32%
24,Leicester,25%,42%,33%
