R,Team,Own Third,Middle Third,Opposition Third
1,Milton Keynes Dons,32%,44%,24%
2,Charlton,32%,45%,23%
3,Leeds,31%,43%,27%
4,Cardiff,31%,43%,26%
5,Nottingham Forest,31%,44%,25%
6,Burnley,31%,42%,27%
7,Wolverhampton Wanderers,31%,42%,27%
8,Birmingham,30%,43%,27%
9,Blackburn,30%,43%,26%
10,Rotherham,30%,42%,28%
11,Brighton,30%,43%,26%
12,Ipswich,30%,41%,29%
13,Middlesbrough,29%,44%,27%
14,Derby,29%,43%,28%
15,Bristol City,29%,42%,28%
16,Reading,29%,43%,28%
17,Bolton,29%,43%,28%
18,Sheffield Wednesday,29%,44%,27%
19,Queens Park Rangers,29%,44%,27%
20,Huddersfield,29%,44%,27%
21,Brentford,29%,44%,27%
22,Fulham,29%,46%,25%
23,Hull,28%,45%,26%
24,Preston,28%,44%,29%
