R,Team,Own Third,Middle Third,Opposition Third
1,Fulham,29%,43%,28%
2,Queens Park Rangers,29%,41%,31%
3,Brentford,29%,40%,31%
4,Nottingham Forest,29%,42%,28%
5,Bristol City,29%,38%,33%
6,Charlton,29%,44%,27%
7,Milton Keynes Dons,28%,44%,29%
8,Wolverhampton Wanderers,28%,45%,27%
9,Leeds,28%,42%,30%
10,Bolton,27%,43%,29%
11,Preston,27%,43%,31%
12,Burnley,27%,45%,28%
13,Rotherham,27%,42%,30%
14,Blackburn,26%,44%,30%
15,Huddersfield,26%,44%,30%
16,Ipswich,26%,43%,31%
17,Birmingham,26%,45%,29%
18,Sheffield Wednesday,26%,45%,29%
19,Cardiff,26%,46%,29%
20,Brighton,25%,45%,31%
21,Reading,24%,45%,30%
22,Derby,24%,44%,32%
23,Middlesbrough,24%,45%,31%
24,Hull,23%,47%,29%
