R,Team,Fouls,Unprofessional,Dive,Other
1,Millwall,34,5,0,7
2,Brighton,34,2,1,9
3,Sheffield Wednesday,33,4,1,9
4,Leeds,33,8,2,7
5,Blackpool,33,2,1,7
6,Middlesbrough,32,0,0,8
7,Norwich,30,1,1,9
8,Fulham,30,1,0,10
9,Wigan,30,4,1,3
10,Bolton,29,2,0,10
11,Rotherham,26,4,0,9
12,Ipswich,26,1,1,7
13,Watford,26,2,0,8
14,Bournemouth,25,0,1,13
15,Huddersfield,24,4,0,8
16,Reading,23,6,0,6
17,Wolverhampton Wanderers,21,4,1,6
18,Nottingham Forest,21,3,0,9
19,Charlton,20,2,0,8
20,Brentford,20,2,2,7
21,Derby,18,5,2,7
22,Cardiff,17,3,0,4
23,Blackburn,17,0,1,6
24,Birmingham,15,1,1,8
