R,Team,Fouls,Unprofessional,Dive,Other
1,Sheffield Wednesday,39,2,0,12
2,Milton Keynes Dons,39,4,0,10
3,Preston,36,5,0,15
4,Blackburn,36,3,0,17
5,Charlton,35,1,0,13
6,Leeds,35,5,0,13
7,Middlesbrough,34,0,0,8
8,Fulham,34,1,0,10
9,Huddersfield,33,1,0,15
10,Reading,32,4,0,12
11,Bolton,32,1,0,6
12,Brentford,31,6,0,12
13,Queens Park Rangers,30,5,0,6
14,Brighton,28,2,0,10
15,Cardiff,28,2,0,13
16,Nottingham Forest,27,6,0,12
17,Bristol City,27,0,0,9
18,Ipswich,26,1,0,3
19,Rotherham,25,2,0,10
20,Birmingham,25,9,0,10
21,Hull,23,3,0,12
22,Wolverhampton Wanderers,22,0,0,4
23,Burnley,21,1,0,5
24,Derby,20,5,0,8
