R,Team,Shots conceded pg,Tackles pg,Interceptions pg,Fouls pg
1,Charlton,16,20.7,11.4,11.2
2,Brighton,13.8,20.3,17,14.3
3,Blackpool,14.8,19.6,14,13.4
4,Birmingham,16.2,19.2,16,11.8
5,Leicester,14.7,19.1,11.7,10.9
6,Yeovil,21.3,19.1,14,13.9
7,Wigan,13.5,18.9,12.8,12
8,Watford,16.3,18.8,13.2,11.6
9,Queens Park Rangers,13,18.7,12.2,10.5
10,Leeds,13.7,18.4,11.7,12.2
11,Huddersfield,14.2,18.4,11.9,11.8
12,Sheffield Wednesday,13.7,18.4,14.3,13.3
13,Bolton,16.9,18.4,13,10.6
14,Blackburn,15.4,17.9,12.8,11.5
15,Millwall,15.3,17.6,13.8,12.3
16,Derby,15.7,17.4,12.3,13
17,Nottingham Forest,15.2,16.9,10,14
18,Middlesbrough,14.6,16.6,11.3,12.3
19,Barnsley,16.3,16.4,15.5,10.5
20,Ipswich,12.9,16.3,10.4,11.8
21,Doncaster,17.6,16.3,12.4,10.6
22,Bournemouth,16,16.2,14.2,10.2
23,Reading,16.2,15.1,11.8,11.2
24,Burnley,14.6,14.7,10.2,9.9
