R,Team,Shots conceded pg,Tackles pg,Interceptions pg,Fouls pg
1,Charlton,13,19.7,12,9.6
2,Queens Park Rangers,11.3,19.6,12,12
3,Sheffield Wednesday,11,19.5,15.6,11.7
4,Blackpool,11.7,19.4,15.5,11.9
5,Brighton,11.3,18.9,16.7,10.7
6,Wigan,11,18.7,15.9,11.4
7,Birmingham,13.4,18.3,16.6,11.7
8,Bolton,13.2,18.2,10.6,11.3
9,Derby,10.6,18,8.4,11
10,Millwall,11.3,17.6,13,11.6
11,Burnley,10.9,17.6,10.1,10.6
12,Yeovil,16.9,17.4,13.2,12.9
13,Huddersfield,12.2,17.3,11.1,11.4
14,Nottingham Forest,12.4,16.9,10.9,12.1
15,Barnsley,14.3,16.9,14.8,10.8
16,Watford,11.1,16.7,13.6,12.7
17,Leicester,10.4,16.6,12.2,10.7
18,Reading,13.8,16.4,10.2,11.9
19,Leeds,11.8,16.2,11.7,11.5
20,Middlesbrough,10.4,16.2,9.7,10.1
21,Bournemouth,11.6,15.5,12.9,9
22,Doncaster,12.7,15.5,11.9,10
23,Ipswich,10.8,14.7,9.6,10.2
24,Blackburn,10.9,14.5,12.4,10.4
