R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Bournemouth,10.2,16.3,15.2,10.3,1.6,7.25
2,Middlesbrough,10.4,18,16,12.5,2.2,7.24
3,Ipswich,12.2,16.6,19.2,11.3,1.9,7.23
4,Norwich,8.1,14.3,15.2,10.8,2.4,7.18
5,Derby,11.5,17.3,13.8,10.4,2,7.18
6,Brentford,12.9,15.7,14.3,8,2.1,7.18
7,Wolverhampton Wanderers,13.2,16.6,12,10.1,2.3,7.17
8,Blackburn,13.7,16.5,17.5,10.3,1.7,7.16
9,Watford,11.5,16.1,15.3,10.6,2.1,7.15
10,Bolton,15,17.7,16.6,12.6,2.9,7.11
11,Fulham,14.8,18.5,17.1,10.6,1.6,7.05
12,Nottingham Forest,13,19,13.6,10.8,2.1,7.05
13,Brighton,11.4,18,20.2,10.8,2.4,7.02
14,Leeds,13.3,22.2,19.4,11.5,2,6.99
15,Cardiff,11.7,17,17,11,2.4,6.96
16,Huddersfield,11.8,17.1,16.7,10.5,2.2,6.95
17,Charlton,15.3,18.1,12.6,10.2,0.9,6.93
18,Rotherham,12.1,20.1,13.6,11.2,2,6.93
19,Reading,10.5,17.5,13.5,12.9,2.9,6.92
20,Birmingham,13.5,18,16.7,9.8,1.8,6.92
21,Sheffield Wednesday,11.3,17.7,17.2,12,1.3,6.91
22,Blackpool,13.8,18.3,20.4,11.5,1.7,6.88
23,Wigan,9.6,16.8,18.5,11.2,2.7,6.84
24,Millwall,12.4,18.8,14.1,14.6,1.4,6.81
