R,Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1,Burnley,16.2,14.7,15.9,10.7,2.5,6.87
2,Birmingham,15,18.8,18.9,10.5,1.8,6.85
3,Middlesbrough,12.3,17.2,18.1,11.8,2,6.85
4,Derby,13.8,19.3,13.7,10.2,1.9,6.83
5,Hull,12.9,17.7,19.1,10.3,2.2,6.82
6,Nottingham Forest,14.8,20,16.4,11.7,2,6.79
7,Ipswich,15.3,16.6,16.4,11.3,2,6.78
8,Brighton,13.3,17.6,16.5,12.1,2.9,6.78
9,Wolverhampton Wanderers,14.4,16.5,15.5,11.7,2,6.76
10,Brentford,14.2,17.3,15.5,11.8,1.7,6.75
11,Reading,12,15.6,18.3,10.5,2.1,6.74
12,Cardiff,15,16.7,17,10.4,2.7,6.74
13,Preston,12.4,17.5,19.4,12.2,2.2,6.72
14,Leeds,14.2,18,18.2,9.4,2.3,6.72
15,Rotherham,15.1,17.6,18.9,13.1,1.7,6.69
16,Blackburn,13.3,15.6,14.9,12.6,2.1,6.69
17,Queens Park Rangers,12.5,15.8,18.7,12.7,1.7,6.69
18,Sheffield Wednesday,12.5,18.3,15.6,13.1,1.6,6.68
19,Fulham,14.7,16,15.3,9.9,1.6,6.67
20,Huddersfield,12.9,19.8,16,12.7,2,6.67
21,Bristol City,14.2,15.7,16.2,11.9,2.9,6.66
22,Milton Keynes Dons,16.1,17.7,21.7,11.1,2.3,6.64
23,Bolton,16.3,16.1,21.8,12.4,2.2,6.55
24,Charlton,19,18.1,13.8,12.7,1.7,6.54
