R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Derby,30,0,6,1,1
2,Leicester,28,1,5,2,1
3,Watford,27,1,6,1,0
4,Blackburn,23,0,9,3,1
5,Burnley,22,2,6,3,1
6,Middlesbrough,21,3,3,0,0
7,Bolton,21,0,7,1,1
8,Birmingham,20,2,5,1,1
9,Wigan,19,0,7,0,0
10,Huddersfield,19,0,4,0,1
11,Queens Park Rangers,17,0,3,1,1
12,Charlton,17,1,1,1,0
13,Barnsley,16,0,5,1,0
14,Nottingham Forest,16,0,12,1,0
15,Yeovil,16,2,6,1,0
16,Brighton,15,0,8,1,0
17,Reading,15,4,8,4,1
18,Leeds,13,0,9,1,1
19,Bournemouth,13,1,7,5,1
20,Ipswich,12,0,13,0,0
21,Millwall,12,0,5,2,1
22,Sheffield Wednesday,11,2,7,2,1
23,Blackpool,9,0,9,0,0
24,Doncaster,4,1,5,1,1
