R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Offsides pg
1,Leicester,15.6,5.2,7.4,8.3,2.1
2,Blackburn,15,5.3,6.1,11.2,1.3
3,Wigan,14,3.9,6,11.7,2.8
4,Bournemouth,13,3.9,7.9,11,2.2
5,Derby,13,4.6,6.9,14.7,1.3
6,Ipswich,12.8,4.4,4.6,10.6,2.2
7,Watford,12.7,4.9,5.8,8.9,2.7
8,Yeovil,12.2,3.6,6.5,9.3,2.5
9,Nottingham Forest,12,4.4,5.4,9.2,3.5
10,Queens Park Rangers,12,3.5,7.7,10.2,2.5
11,Huddersfield,12,4.1,4.3,10.2,1.9
12,Bolton,12,4.3,6,10.1,2.6
13,Barnsley,11.8,3.4,7.2,11.8,3.1
14,Middlesbrough,11.6,4,6.9,9.2,2.7
15,Birmingham,11.5,3.9,6.3,10.8,2.7
16,Burnley,11.5,4.1,4.2,9.5,2.9
17,Millwall,11.5,3.6,5.5,10.3,2.8
18,Sheffield Wednesday,11.5,3.3,6,11.3,2.6
19,Reading,11.2,3.5,8.1,12.5,2.1
20,Brighton,11.1,3.4,6.1,10.9,2.7
21,Blackpool,10.3,2.7,5.2,11,2.4
22,Leeds,10.1,2.4,4.3,10.1,2.3
23,Doncaster,9.7,2.5,5.3,11.9,2.2
24,Charlton,9.3,2.9,5.4,10.6,2.5
