R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Offsides pg
1,Leicester,18.9,5.9,7.9,9.6,1.8
2,Bournemouth,17.2,6.1,9.3,11.3,3
3,Derby,17.1,5.4,7.5,13.3,1.7
4,Middlesbrough,16.5,5.6,6.5,9.6,1.7
5,Bolton,16.4,5.2,5.7,10.6,2
6,Queens Park Rangers,16.3,5.4,8.1,12.5,2.8
7,Sheffield Wednesday,16.3,5.3,7.7,11.3,2.5
8,Huddersfield,16.2,4.7,6.2,11.5,1.9
9,Brighton,16.2,4.3,8.3,11.4,2.5
10,Burnley,16.1,5.5,5.3,11,2.1
11,Leeds,16,5.4,4.7,10.6,2.4
12,Nottingham Forest,16,4.9,6.3,10,3.4
13,Wigan,15.7,5.1,8.2,12.1,2.6
14,Blackburn,15.2,5.1,7.8,11.5,1.7
15,Watford,15,4.8,6.5,10.4,2.3
16,Millwall,14.5,4.5,5.6,11.3,3
17,Barnsley,14.2,4,6.5,11.1,1.7
18,Yeovil,14,4.4,7.7,11.9,2.8
19,Reading,14,4.5,8.3,13.1,1.8
20,Blackpool,13.6,3.7,5.7,10.7,2.4
21,Ipswich,13.5,4.4,4,10.1,2.3
22,Charlton,13.2,4,6.3,10.3,1.4
23,Birmingham,12.7,4.6,6.5,12.2,2.4
24,Doncaster,11.9,3.9,5.8,12.1,2.5
