R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Bournemouth,16.2,5.7,7.7,12,7.25
2,Watford,13.6,5.4,6.4,8.6,7.16
3,Norwich,13.1,4.3,7.8,10.1,7.06
4,Blackburn,13.3,4,5.3,11.2,7.03
5,Nottingham Forest,13,4.8,6.9,10.8,7.03
6,Derby,12.2,4.5,7.1,13.1,7.02
7,Ipswich,13.4,4.7,4.7,10.6,7.01
8,Brentford,13.5,5,6.8,12.8,7
9,Sheffield Wednesday,12.1,3.5,7.1,10.7,6.97
10,Brighton,12.4,3.1,6.4,11.4,6.95
11,Cardiff,11.1,3.3,6.3,10.8,6.94
12,Leeds,10,3.3,5.7,10.3,6.94
13,Fulham,10.7,3.7,6.5,10.2,6.92
14,Middlesbrough,12.2,3.4,5.7,9,6.9
15,Birmingham,12.8,4.3,4.6,11.3,6.89
16,Charlton,9.3,3.2,5,7.9,6.85
17,Millwall,12.9,3.7,5.1,11.4,6.83
18,Wigan,10.2,3.2,5.5,11.5,6.83
19,Rotherham,13.4,4.1,4.6,9.2,6.82
20,Wolverhampton Wanderers,11,3.7,7.6,10.8,6.82
21,Bolton,11.6,3.7,5.4,9.8,6.8
22,Huddersfield,13.8,4.4,5.7,9.7,6.78
23,Reading,12.1,3.9,6.3,10.7,6.74
24,Blackpool,9.3,2.7,5.7,11.1,6.64
