R,Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1,Bournemouth,17.3,6.1,9.6,12.1,7.25
2,Middlesbrough,16.8,5.8,6.8,11.3,7.24
3,Ipswich,16,5.3,5,11.5,7.23
4,Norwich,19,6.3,9.2,9.1,7.18
5,Derby,13.9,4.8,8.4,12,7.18
6,Brentford,17.7,6.6,9.6,11.5,7.18
7,Wolverhampton Wanderers,15,5,10.1,9.6,7.17
8,Blackburn,17.1,5.4,5.1,10.5,7.16
9,Watford,15.7,5.6,7,10.5,7.15
10,Bolton,13.9,4.7,6.2,9.6,7.11
11,Fulham,15.4,4.7,6.9,11.4,7.05
12,Nottingham Forest,16.3,4.3,7.3,10.7,7.05
13,Brighton,16.6,5,8.5,11,7.02
14,Leeds,12.6,3.6,6,11.3,6.99
15,Cardiff,14,4.3,6.2,11.7,6.96
16,Huddersfield,15.3,6,5.6,10.7,6.95
17,Charlton,11.6,4.2,6.6,8.5,6.93
18,Rotherham,14,4.1,4,9.7,6.93
19,Reading,13.9,4.1,7.1,10.9,6.92
20,Birmingham,13.9,4.6,5.8,12,6.92
21,Sheffield Wednesday,14.2,3.8,7.7,11.3,6.91
22,Blackpool,14.2,4.1,6.1,11.3,6.88
23,Wigan,13.7,3.6,7.9,13.6,6.84
24,Millwall,13.7,3.7,5.8,13,6.81
