R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bournemouth,19,2,77,442
2,Derby,19,1,70,394
3,Brentford,20,1,78,382
4,Norwich,19,1,86,376
5,Watford,17,1,72,369
6,Fulham,16,1,82,367
7,Brighton,16,1,79,366
8,Wolverhampton Wanderers,18,1,85,354
9,Wigan,20,0,85,333
10,Middlesbrough,20,1,88,331
11,Leeds,14,1,79,319
12,Bolton,22,1,81,316
13,Reading,23,0,86,305
14,Millwall,18,0,90,296
15,Blackburn,19,1,82,293
16,Sheffield Wednesday,21,1,83,290
17,Ipswich,23,0,94,290
18,Charlton,15,0,85,289
19,Rotherham,21,1,93,279
20,Nottingham Forest,20,0,83,278
21,Huddersfield,19,1,77,267
22,Birmingham,18,0,85,267
23,Blackpool,12,0,78,265
24,Cardiff,16,1,82,244
