R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Derby,23,1,71,445
2,Bournemouth,25,3,73,431
3,Norwich,30,1,83,410
4,Brighton,24,3,69,400
5,Brentford,26,1,81,395
6,Wolverhampton Wanderers,22,1,79,392
7,Watford,21,1,76,381
8,Fulham,21,1,78,362
9,Middlesbrough,24,1,81,345
10,Blackburn,25,1,84,344
11,Reading,27,0,81,335
12,Charlton,18,0,82,326
13,Bolton,25,1,77,321
14,Wigan,26,0,85,321
15,Leeds,22,1,77,308
16,Huddersfield,23,1,81,304
17,Cardiff,21,1,78,303
18,Nottingham Forest,25,1,87,299
19,Millwall,23,0,92,296
20,Rotherham,21,0,95,296
21,Ipswich,23,1,95,292
22,Sheffield Wednesday,25,1,87,288
23,Blackpool,18,1,89,264
24,Birmingham,22,0,85,263
