R,Team,Left Side,Attempts from the middle,Right Side
1,Reading,22%,60%,18%
2,Bournemouth,20%,60%,20%
3,Derby,20%,62%,18%
4,Sheffield Wednesday,19%,66%,15%
5,Blackpool,19%,62%,19%
6,Leeds,18%,66%,17%
7,Bolton,18%,63%,19%
8,Cardiff,18%,65%,16%
9,Millwall,18%,62%,20%
10,Wigan,17%,64%,18%
11,Brighton,17%,66%,17%
12,Fulham,17%,66%,17%
13,Birmingham,17%,67%,16%
14,Blackburn,17%,66%,17%
15,Huddersfield,17%,64%,19%
16,Rotherham,17%,68%,15%
17,Wolverhampton Wanderers,17%,67%,16%
18,Brentford,16%,64%,21%
19,Norwich,16%,67%,18%
20,Nottingham Forest,16%,68%,16%
21,Charlton,15%,67%,18%
22,Watford,15%,64%,21%
23,Ipswich,13%,72%,15%
24,Middlesbrough,13%,68%,19%
