R,Team,Left Side,Attempts from the middle,Right Side
1,Wigan,25%,54%,21%
2,Birmingham,25%,59%,16%
3,Brighton,24%,60%,16%
4,Norwich,21%,57%,22%
5,Nottingham Forest,21%,62%,17%
6,Sheffield Wednesday,21%,64%,15%
7,Huddersfield,20%,61%,19%
8,Derby,20%,63%,17%
9,Blackpool,20%,64%,16%
10,Rotherham,19%,70%,11%
11,Reading,19%,61%,20%
12,Wolverhampton Wanderers,18%,63%,19%
13,Millwall,18%,62%,20%
14,Middlesbrough,18%,69%,13%
15,Brentford,18%,67%,16%
16,Charlton,17%,65%,18%
17,Leeds,17%,62%,22%
18,Watford,17%,69%,14%
19,Bolton,16%,70%,14%
20,Bournemouth,15%,68%,17%
21,Cardiff,15%,65%,20%
22,Blackburn,13%,72%,15%
23,Ipswich,13%,71%,15%
24,Fulham,13%,68%,19%
