R,Team,Left Side,Attempts from the middle,Right Side
1,Watford,22%,59%,19%
2,Leeds,21%,66%,13%
3,Blackburn,21%,61%,18%
4,Middlesbrough,21%,69%,10%
5,Norwich,21%,60%,19%
6,Brentford,21%,62%,18%
7,Rotherham,20%,62%,17%
8,Bolton,20%,62%,18%
9,Blackpool,20%,66%,14%
10,Nottingham Forest,19%,63%,18%
11,Millwall,19%,63%,18%
12,Fulham,18%,61%,21%
13,Sheffield Wednesday,18%,62%,20%
14,Wigan,18%,60%,22%
15,Birmingham,18%,67%,16%
16,Derby,17%,66%,17%
17,Cardiff,17%,67%,16%
18,Charlton,17%,66%,16%
19,Ipswich,17%,66%,17%
20,Bournemouth,17%,68%,16%
21,Brighton,16%,67%,18%
22,Huddersfield,15%,68%,17%
23,Wolverhampton Wanderers,15%,69%,16%
24,Reading,14%,70%,17%
