,Team,Left Side,Attempts from the middle,Right Side
1,Birmingham,23%,58%,19%
2,Wigan,21%,62%,17%
3,Fulham,21%,66%,14%
4,Rotherham,19%,66%,15%
5,Ipswich,19%,64%,18%
6,Leeds,18%,57%,24%
7,Wolverhampton Wanderers,18%,62%,20%
8,Nottingham Forest,18%,66%,16%
9,Cardiff,18%,65%,17%
10,Huddersfield,18%,59%,23%
11,Norwich,18%,62%,20%
12,Derby,17%,66%,17%
13,Bolton,17%,69%,14%
14,Middlesbrough,17%,69%,15%
15,Brighton,17%,69%,14%
16,Brentford,17%,60%,23%
17,Millwall,16%,67%,17%
18,Blackpool,16%,65%,19%
19,Watford,15%,68%,17%
20,Charlton,15%,69%,16%
21,Bournemouth,15%,63%,21%
22,Reading,14%,71%,15%
23,Blackburn,13%,74%,13%
24,Sheffield Wednesday,13%,66%,20%
