R,Team,Left Side,Attempts from the middle,Right Side
1,Bristol City,23%,61%,15%
2,Milton Keynes Dons,23%,57%,20%
3,Birmingham,22%,60%,18%
4,Queens Park Rangers,21%,57%,22%
5,Charlton,21%,64%,15%
6,Huddersfield,20%,52%,27%
7,Wolverhampton Wanderers,20%,64%,16%
8,Rotherham,19%,66%,14%
9,Leeds,19%,58%,23%
10,Fulham,19%,64%,17%
11,Sheffield Wednesday,18%,63%,19%
12,Brighton,18%,66%,16%
13,Bolton,18%,72%,10%
14,Brentford,18%,63%,20%
15,Blackburn,17%,73%,10%
16,Reading,17%,65%,18%
17,Hull,17%,67%,17%
18,Preston,16%,68%,16%
19,Ipswich,16%,65%,19%
20,Nottingham Forest,16%,63%,21%
21,Middlesbrough,15%,67%,18%
22,Cardiff,14%,61%,25%
23,Derby,14%,68%,18%
24,Burnley,13%,74%,12%
