R,Team,SpG,Discipline,Possession%,Pass Success%,AW,Rating
1,Burnley,16.1,210,51.4,71.8,20.3,7
2,Leicester,18.9,230,57.5,80.2,19.7,6.99
3,Queens Park Rangers,16.3,272,57.2,79.2,19.6,6.99
4,Derby,17.1,200,58.6,81.4,19,6.96
5,Blackburn,15.2,280,49.8,75.2,23.3,6.93
6,Brighton,16.2,341,56.5,81.3,16.5,6.93
7,Leeds,16,360,50.7,74,26.9,6.93
8,Wigan,15.7,340,52.9,75.4,17.6,6.92
9,Bournemouth,17.2,292,56,77.6,19.5,6.9
10,Reading,14,343,49.3,70.6,23.8,6.87
11,Sheffield Wednesday,16.3,421,52.6,72.5,21.3,6.87
12,Nottingham Forest,16,422,55.2,78.1,19.2,6.85
13,Bolton,16.4,310,49.2,73.5,21.5,6.84
14,Middlesbrough,16.5,323,49.8,76.2,16.1,6.84
15,Watford,15,432,52.1,78.5,17.4,6.82
16,Ipswich,13.5,221,51,68.8,25.7,6.81
17,Birmingham,12.7,340,48.4,70.1,21.3,6.8
18,Doncaster,11.9,281,52.5,73.6,18.7,6.8
19,Blackpool,13.6,333,48.7,69.1,23.9,6.79
20,Huddersfield,16.2,281,52,76.3,18,6.77
21,Barnsley,14.2,272,48.8,72,21,6.76
22,Yeovil,14,370,46.7,68.7,18.6,6.75
23,Charlton,13.2,280,48.9,68.7,21.7,6.73
24,Millwall,14.5,432,49,67.2,25.2,6.72
