R,Team,Shots pg,Discipline,Possession%,PassSuccess%,AerialsWon,Rating
1,Bournemouth,17.3,361,58.5,79.7,21.4,7.25
2,Middlesbrough,16.8,391,52.5,75.5,19.4,7.24
3,Ipswich,16,350,49.4,64.7,25.5,7.23
4,Norwich,19,391,58.7,78.4,18.2,7.18
5,Derby,13.9,320,57.9,80.5,16.4,7.18
6,Brentford,17.7,292,57.1,79.2,13.1,7.18
7,Wolverhampton Wanderers,15,274,53.3,77.8,17.3,7.17
8,Blackburn,17.1,221,52.2,73,29,7.16
9,Watford,15.7,322,52.6,75.8,17.2,7.15
10,Bolton,13.9,410,50.3,73.4,23.3,7.11
11,Fulham,15.4,364,50.9,76.4,19,7.05
12,Nottingham Forest,16.3,321,49.1,74.6,20.1,7.05
13,Brighton,16.6,413,54.9,80.3,18.9,7.02
14,Leeds,12.6,463,48.1,73.3,17.2,6.99
15,Cardiff,14,221,46.4,72.4,20.4,6.96
16,Huddersfield,15.3,332,48.2,71.2,18.3,6.95
17,Charlton,11.6,291,46.3,71.5,19,6.93
18,Rotherham,14,381,47.7,68,26,6.93
19,Reading,13.9,350,50.9,72.6,23.3,6.92
20,Birmingham,13.9,214,44.6,66.7,18.4,6.92
21,Sheffield Wednesday,14.2,432,50.9,68,20.5,6.91
22,Blackpool,14.2,421,45.9,63.6,25.4,6.88
23,Wigan,13.7,343,53.8,71.3,20.9,6.84
24,Millwall,13.7,415,50.7,69.6,22.8,6.81
