R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Leeds,10%,45%,45%
2,Bolton,10%,40%,50%
3,Doncaster,9%,44%,48%
4,Derby,9%,45%,46%
5,Birmingham,8%,51%,41%
6,Sheffield Wednesday,8%,48%,44%
7,Burnley,8%,41%,50%
8,Leicester,8%,43%,49%
9,Watford,8%,48%,44%
10,Millwall,7%,46%,47%
11,Ipswich,7%,48%,44%
12,Bournemouth,6%,51%,43%
13,Barnsley,6%,48%,46%
14,Blackburn,6%,50%,44%
15,Yeovil,6%,50%,44%
16,Huddersfield,6%,50%,44%
17,Blackpool,5%,51%,45%
18,Reading,5%,45%,50%
19,Nottingham Forest,5%,47%,48%
20,Brighton,4%,41%,55%
21,Charlton,4%,51%,45%
22,Middlesbrough,4%,48%,48%
23,Queens Park Rangers,4%,47%,49%
24,Wigan,4%,51%,45%
