R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Ipswich,4%,61%,35%
2,Bolton,6%,56%,37%
3,Middlesbrough,5%,57%,38%
4,Blackburn,6%,55%,39%
5,Cardiff,7%,51%,41%
6,Sheffield Wednesday,8%,51%,41%
7,Norwich,4%,56%,41%
8,Wigan,4%,53%,42%
9,Nottingham Forest,7%,49%,43%
10,Watford,5%,51%,44%
11,Derby,7%,49%,44%
12,Bournemouth,5%,51%,44%
13,Brentford,3%,53%,44%
14,Wolverhampton Wanderers,5%,51%,45%
15,Huddersfield,5%,50%,46%
16,Fulham,6%,48%,46%
17,Charlton,5%,48%,47%
18,Reading,6%,47%,47%
19,Millwall,5%,47%,48%
20,Brighton,5%,48%,48%
21,Rotherham,6%,45%,49%
22,Blackpool,6%,45%,49%
23,Birmingham,6%,42%,52%
24,Leeds,3%,45%,52%
