R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Ipswich,7%,60%,33%
2,Bolton,5%,60%,35%
3,Middlesbrough,6%,56%,37%
4,Reading,10%,52%,38%
5,Blackburn,7%,55%,38%
6,Brighton,7%,54%,39%
7,Cardiff,6%,53%,41%
8,Bournemouth,8%,51%,41%
9,Derby,8%,50%,42%
10,Wolverhampton Wanderers,9%,48%,43%
11,Huddersfield,5%,52%,43%
12,Rotherham,6%,52%,43%
13,Wigan,4%,53%,43%
14,Watford,7%,50%,43%
15,Fulham,6%,49%,44%
16,Charlton,3%,52%,44%
17,Brentford,7%,50%,44%
18,Birmingham,7%,49%,44%
19,Norwich,6%,49%,45%
20,Sheffield Wednesday,7%,47%,46%
21,Millwall,7%,46%,47%
22,Leeds,2%,50%,47%
23,Nottingham Forest,9%,42%,49%
24,Blackpool,7%,40%,53%
