R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Reading,10%,54%,36%
2,Sheffield Wednesday,9%,48%,43%
3,Brentford,8%,50%,42%
4,Cardiff,8%,55%,36%
5,Milton Keynes Dons,8%,55%,37%
6,Bolton,8%,52%,40%
7,Charlton,8%,49%,43%
8,Rotherham,8%,57%,34%
9,Brighton,7%,46%,48%
10,Birmingham,7%,52%,41%
11,Ipswich,7%,48%,45%
12,Blackburn,7%,49%,44%
13,Leeds,7%,50%,42%
14,Queens Park Rangers,7%,52%,41%
15,Bristol City,7%,54%,39%
16,Derby,6%,44%,50%
17,Huddersfield,6%,45%,49%
18,Hull,6%,49%,45%
19,Fulham,6%,55%,39%
20,Burnley,6%,45%,49%
21,Nottingham Forest,6%,51%,43%
22,Preston,5%,52%,43%
23,Middlesbrough,5%,46%,48%
24,Wolverhampton Wanderers,4%,42%,55%
