Team,EloRank,xEloRank,1YearChange,xTeam,EloRating,FIFARank,,https://en.m.wikipedia.org/wiki/World_Football_Elo_Ratings
Brazil,1,1,Steady, Brazil,2131,2,,
Germany,2,2,Steady, Germany,2092,1,,
Spain,3,3,Steady, Spain,2049,8,,
France,4,4,Increase 1, France,1987,7,,
Argentina,5,5,Decrease 2, Argentina,1985,5,,
Portugal,6,6,Increase 4, Portugal,1967,4,,
England,7,7,Increase 2, England,1941,13,,
Colombia,8,8,Decrease 1, Colombia,1935,16,,
Belgium,9,9,Increase 3, Belgium,1931,3,,
Netherlands,10,10,Increase 8, Netherlands,1907,19,,
Peru,11,11,Increase 6, Peru,1906,11,,
Italy,12,12,Decrease 4, Italy,1901,20,,
Uruguay,13,13,Steady, Uruguay,1891,17,,
Switzerland,14,14,Increase 2,  Switzerland,1879,6,,
Chile,15,15,Decrease 9, Chile,1874,9,,
Mexico,16,16,Decrease 5, Mexico,1857,15,,
Croatia,17,17,Decrease 4, Croatia,1853,18,,
Denmark,18,18,Increase 16, Denmark,1843,12,,
Poland,19,19,Decrease 4, Poland,1831,10,,
Sweden,20,20,Increase 1, Sweden,1796,22,,
Iceland,21,21,Increase 1, Iceland,1787,23,,
Iran,21,,Increase 4, Iran,1787,36,,
Wales,23,23,Increase 4, Wales,1777,21,,
Serbia,24,24,Increase 9, Serbia,1770,35,,
United States,25,25,Increase 7, United States,1764,24,,
Slovakia,26,26,Increase 5, Slovakia,1762,29,,
South Korea,27,27,Increase 1, South Korea,1751,61,,
Ecuador,28,28,Decrease 9, Ecuador,1747,63,,
Senegal,28,,Increase 8, Senegal,1747,28,,
Paraguay,30,30,Increase 4, Paraguay,1746,32,,
Costa Rica,31,31,Decrease 5, Costa Rica,1745,25,,
Ukraine,32,32,Decrease 2, Ukraine,1741,30,,
Venezuela,33,33,Increase 11, Venezuela,1739,39,,
Turkey,34,34,Decrease 14, Turkey,1729,37,,
Austria,35,35,Increase 5, Austria,1726,26,,
Bosnia and Herzegovina,36,36,Decrease 7, Bosnia and Herzegovina,1725,41,,
Czech Republic,37,37,Increase 1, Czech Republic,1722,45,,
Republic of Ireland,38,38,Decrease 14, Republic of Ireland,1721,31,,
Scotland,39,39,Increase 7, Scotland,1718,34,,
Australia,40,40,Decrease 3, Australia,1714,40,,
Morocco,41,41,Increase 17, Morocco,1711,42,,
Romania,42,42,Increase 4, Romania,1706,32,,
Nigeria,43,43,Increase 7, Nigeria,1693,47,,
Japan,44,44,Decrease 21, Japan,1692,60,,
