Name,Nationality,From,To,Matches,Won,Drawn,Lost,Win%[1],Honours,Notes
Jack Robson, England,May 1889,May-05,215,82,47,86,38.14,-,[2]
Alex Mackie, Scotland,Jun-05,May-06,52,13,15,24,25,-,[3]
Andy Aitken, Scotland,Oct-06,Feb-09,95,40,18,37,42.11,-,[4]
John Gunter,Unknown,Feb-09,Jun-10,79,25,19,35,31.65,-,[5]
Andy Walker, Scotland,Jun-10,Jan-11,20,9,7,4,45,-,[6]
Thomas H. McIntosh, England,Aug-11,Dec-19,179,69,42,68,38.55,-,[7]
James Howie, Scotland,Apr-20,Jul-23,132,47,37,48,35.61,-,[8]
Herbert Bamlett, England,Aug-23,Mar-27,110,30,27,53,27.27,-,[9]
Peter McWilliam, Scotland,Apr-27,Mar-34,328,132,75,121,40.24,"Second Division 1926–27, 1928–29",[10]
Wilf Gillow, England,Mar-34,Mar-44,236,92,55,89,38.98,-,[11]
David Jack, England,Nov-44,Apr-52,270,100,61,109,37.04,-,[12]
Walter Rowley, England,Jun-52,Feb-54,73,22,16,35,30.14,-,[13]
Bob Dennison, England,Jul-54,Jan-63,381,158,77,146,41.47,-,[14]
Raich Carter, England,Jan-63,Feb-66,143,46,41,56,32.17,-,[15]
Stan Anderson, England,Apr-66,25-Jan-73,332,139,89,104,41.87,-,[16]
Harold Shepherdson, England,25-Jan-73,07-May-73,17,9,4,4,52.94,-,[17]
Jack Charlton, England,07-May-73,21-Apr-77,193,88,49,56,45.6,"Second Division 1973–74,Anglo-Scottish Cup 1975–76",[18]
John Neal, England,01-May-77,Jul-81,196,69,52,75,35.2,Kirin Cup 1980,[19]
Bobby Murdoch, Scotland,Jul-81,29-Sep-82,54,9,19,26,16.67,-,[20]
Malcolm Allison, England,23-Oct-82,28-Mar-84,77,24,24,29,31.17,-,[21]
Jack Charlton, England,28-Mar-84,Jun-84,9,3,3,3,33.33,-,[18]
Willie Maddren, England,03-Jun-84,02-Feb-86,77,17,20,40,22.08,-,[22]
Bruce Rioch, Scotland,02-Feb-86,09-Mar-90,205,82,52,71,40,-,[23]
Colin Todd, England,09-Mar-90,24-Jun-91,70,28,16,26,40,-,[24]
Lennie Lawrence, England,10-Jul-91,19-May-94,157,61,43,53,38.85,-,[25]
Bryan Robson, England,Jun-94,06-Dec-00,314,127,86,101,40.45,Division One 1994–95,[26]
Terry Venables, England,06-Dec-00,12-Jun-01,25,8,11,6,32,-,[27]
Steve McClaren, England,12-Jun-01,11-May-06,250,97,60,93,38.8,League Cup 2004,[28]
Gareth Southgate, England,07-Jun-06,20-Oct-09,151,45,43,63,29.8,-,[29]
Colin Cooper, England,20-Oct-09,26-Oct-09,1,0,1,0,0,-,[30]
Gordon Strachan, Scotland,26-Oct-09,18-Oct-10,51,15,13,23,28.26,-,[31]
Steve Agnew, England,18-Oct-10,26-Oct-10,2,0,0,2,0,-,[32]
Tony Mowbray, England,26-Oct-10,22-Oct-13,153,61,37,55,39.87,-,[33]
Mark Venus, England,23-Oct-13,12-Nov-13,3,1,1,1,33.33,-,[34]
Aitor Karanka, Spain,13-Nov-13,Present,0,0,0,0,0,-,
