Overall Rank,Stadium,Town/City,Capacity,Club,Division,Rank in Respective Divisions,Notes
1,Wembley Stadium,London,"90,000 [2]",England national football team,National Stadium,N/A,
2,Old Trafford,Manchester,"75,731 [3]",Manchester United,Premier League,1,Largest Premier League Stadium.
3,Emirates Stadium,London,"60,362 [4]",Arsenal,Premier League,2,"Referred to as ""Arsenal Stadium"" by UEFA. Also known as Ashburton Grove."
4,St James' Park,Newcastle-upon-Tyne,"52,405 [5]",Newcastle United,Premier League,3,
5,Stadium of Light,Sunderland,"48,707 [6]",Sunderland,Premier League,4,
6,Etihad Stadium,Manchester,"46,708[7]",Manchester City,Premier League,5,Formerly known as the City of Manchester Stadium.
7,Anfield,Liverpool,"45,276 [8]",Liverpool,Premier League,6,
8,Villa Park,Birmingham,"42,682 [9]",Aston Villa,Premier League,7,
9,Stamford Bridge,London,"41,798 [10]",Chelsea,Premier League,8,
10,Hillsborough Stadium,Sheffield,"39,702 [11]",Sheffield Wednesday,Championship,1,"Largest Championship Stadium, and largest stadium outside the Premier League."
11,Goodison Park,Liverpool,"39,571[12]",Everton,Premier League,9,
12,Elland Road,Leeds,"37,890 [13]",Leeds United,Championship,2,
13,White Hart Lane,London,"36,284 [14]",Tottenham Hotspur,Premier League,10,
14,Boleyn Ground,London,"35,016 [15]",West Ham United,Premier League,11,Also known as Upton Park.
15,Riverside Stadium,Middlesbrough,"34,998 [16]",Middlesbrough,Championship,3,
N/A,Cardiff City Stadium,Cardiff,"33,316 [17]",Cardiff City,Championship,4,
16,Pride Park Stadium,Derby,"33,010 [18]",Derby County,Championship,5,"Also known as the ""iPro Stadium"" for promotional purposes."
17,St Mary's Stadium,Southampton,"32,589 [19]",Southampton,Premier League,12,
18,Bramall Lane,Sheffield,"32,609 [20]",Sheffield United,League One,1,Largest League One Stadium.
19,Ricoh Arena,Coventry,"32,600 [21]",Coventry City,League One,2,
20,King Power Stadium,Leicester,"32,312 [22]",Leicester City,Premier League,13,
21,Ewood Park,Blackburn,"31,154 [23]",Blackburn Rovers,Championship,6,
22,Molineux,Wolverhampton,"30,852 [24]",Wolverhampton Wanderers,Championship,7,
23,Falmer Stadium,Brighton,"30,750 [25]",Brighton & Hove Albion,Championship,8,Commercially known as The American Express Community Stadium (The AMEX).
