Country,City,Venue,URL
Azerbaijan,Baku,Bak? Olimpiya Stadionu,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Belarus,Minsk,Dinamo Stadium,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Belgium,Brussels,Eurostadium,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Bulgaria,Sofia,Vasil Levski National Stadium,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Denmark,Copenhagen,Telia Parken,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
England,London,Wembley Stadium,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
England,London,Wembley Stadium (old),https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Germany,Munich,Allianz Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Hungary,Budapest,Puskás Aréna,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Israel,Jerusalem,Teddy Stadium,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Italy,Rome,Stadio Olimpico,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Macedonia,Skopje,Philip II Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Netherlands,Amsterdam,Amsterdam Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Republic of Ireland,Dublin,Aviva Stadium,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Romania,Bucharest,Arena Na?ional?,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Russia,Saint Petersburg,Gazprom Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Scotland,Glasgow,Hampden Park,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Spain,Sevilla,Estadio La Cartuja de Sevilla,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Sweden,"Solna, Stockholm",Friends Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
Wales,Cardiff,Millennium Stadium,https://en.wikipedia.org/wiki/UEFA_Euro_2020#Venues
France,Saint-Denis,Stade de France,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Marseille,Orange Vélodrome,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Décines-Charpieu,Groupama Stadium,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Villeneuve-d'Ascq,Stade Pierre-Mauroy,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Paris,Parc des Princes,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Bordeaux,Stade Matmut-Atlantique,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Saint-Étienne,Stade Geoffroy-Guichard,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Lens,Stade Bollaert-Delelis,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Nice,Stade de Nice,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
France,Toulouse,Stadium Municipal,https://en.wikipedia.org/wiki/UEFA_Euro_2016#Venues
Poland,Warsaw,Stadion Narodowy,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Poland,Wroclaw,Stadion Miejski,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Poland,Gdansk,Stadion Energa Gda?sk,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Poland,Poznan,INEA stadion,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Ukraine,Kyiv,NSK Olimpijs'kyj,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Ukraine,Donetsk,Donbass Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Ukraine,Kharkiv,Oblasny SportKomplex Metalist,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Ukraine,Lviv,L'viv Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2012#Venues
Austria,Vienna,Ernst-Happel-Stadion,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Austria,Klagenfurt,Wörthersee Stadion,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Switzerland,Basel,St. Jakob-Park,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Switzerland,Bern,Stade de Suisse Wankdorf Bern,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Austria,Innsbruck,Tivoli Stadion Tirol,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Austria,Salzburg,Red Bull Arena,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Switzerland,Geneva,Stade de Genève,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Switzerland,Zürich,Stadion Letzigrund,https://en.wikipedia.org/wiki/UEFA_Euro_2008#Venues
Portugal,Lisbon,Estádio do Sport Lisboa e Benfica,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Lisbon,Estádio José Alvalade,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Aveiro,Estádio Municipal de Aveiro,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Braga,Estádio Municipal de Braga,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Guimarães,Estádio Dom Afonso Henriques,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Coimbra,Estádio EFAPEL,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Leiria,Estádio Dr. Magalhães Pessoa,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Porto,Estádio Do Dragão,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Porto,Estádio do Bessa Século XXI,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Portugal,Faro/Loulé,Estádio Do Algarve,https://en.wikipedia.org/wiki/UEFA_Euro_2004#Venues
Belgium,Brussels,Stade Roi Baudouin,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
Belgium,Bruges,Jan Breydelstadion,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
Netherlands,Amsterdam,Johan Cruyff ArenA,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
Netherlands,Rotterdam,Stadion Feijenoord,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
Belgium,Liège,Stade Maurice Dufrasne,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
Belgium,Charleroi,Stade du Pays de Charleroi,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
Netherlands,Eindhoven,Philips Stadion,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
Netherlands,Arnhem,GelreDome,https://en.wikipedia.org/wiki/UEFA_Euro_2000#Venues
